fracture_mode,step,time_s,time_day,time_year,dt_s,q_prod_m3_s,q_prod_m3_day,q_prod_to_q_in_set,q_in_actual_m3_s,q_in_actual_m3_day,prod_temperature_K,prod_temperature_C,normalized_temperature,prod_liquid_density_kg_m3,he_mass_fraction,he_concentration_kg_m3_water,he_concentration_mg_L,he_C_over_C0,n2_C_over_C0,ch4_C_over_C0,he_instantaneous_rate_kg_s,he_instantaneous_rate_kg_day,cum_he_prod_kg,cum_he_prod_from_balance_kg,res_he_mass_kg,res_n2_mass_kg,res_ch4_mass_kg,he_mass_balance_error_kg,n2_mass_balance_error_kg,ch4_mass_balance_error_kg,he_mass_balance_error_rel,n2_mass_balance_error_rel,ch4_mass_balance_error_rel,swept_area_m2,swept_fraction,mean_injected_water_fraction_proxy
random_with_backbone,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,126.85000000000002,1.0,947.8614631830501,9.67785769238937e-07,0.0009173268352785525,0.9173268352785525,1.0,1.0000000000000002,0.9999999999999999,0.0,0.0,0.0,0.0,275.1980505835422,63456.67733184735,6303.049197324481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_with_backbone,65,444968.5634625112,5.150099114149436,0.01410020291348237,25674.614059120475,2.5427106784569423e-06,0.2196902026186798,0.01955931291120725,0.00012999793127538403,11.231821262193181,400.0,126.85000000000002,1.0,947.86871933898,9.67785769238936e-07,0.0009173338576829998,0.9173338576829998,1.0000076552916335,1.0000076552916344,1.0000076552916342,2.3325145956406648e-09,0.00020152926106335343,0.0014302241742327566,0.0014302241510222302,275.1966203593912,63456.3475428976,6303.016439922207,2.319211489520967e-11,-7.770722731947899e-09,3.1013769330456853e-10,8.42742702792846e-14,-1.2245713230950974e-13,4.920439038239077e-14,500.0,0.0005,0.00019850190951816555
random_with_backbone,82,881487.4699719494,10.202401272823488,0.027932652355437338,25679.966500981827,2.7543458950074825e-06,0.23797548532864649,0.021187276115442175,0.00012999582919308544,11.231639642282582,400.0,126.85000000000002,1.0,947.8767848408662,9.677857692389353e-07,0.0009173416633609465,0.9173416633609465,1.0000161644485082,1.000016164448509,1.0000161644485093,2.526676244797559e-09,0.0002183048275505091,0.0024932963923534465,0.002493296369152631,275.1955572871731,63456.102413869296,6302.992091652017,2.319211489520967e-11,-7.792550604790449e-09,3.092281986027956e-10,8.42742702792846e-14,-1.2280111301824433e-13,4.906009598244241e-14,800.0,0.0008,0.0003937176726516668
random_with_backbone,99,1318093.227345919,15.255708649837025,0.04176785393521431,25685.101493198657,2.965848526334326e-06,0.2562493126752858,0.02281421943334097,0.0001299926483887652,11.231364820789313,400.0,126.85000000000002,1.0,947.8852592574773,9.677857692389353e-07,0.0009173498647807453,0.9173498647807453,1.000025105013074,1.0000251050130748,1.0000251050130762,2.7207207445929663e-09,0.0002350702723328323,0.0036413727333915145,0.003641372710376345,275.19440921083185,63455.837684123915,6302.965796474269,2.3021584638627246e-11,-7.552444003522396e-09,3.2378011383116245e-10,8.365460652723103e-14,-1.1901732522216396e-13,5.136880638161617e-14,1500.0,0.0015,0.0005890679136918983
random_with_backbone,115,1729095.616059117,20.012680741424965,0.05479173372053379,25689.86301063816,3.164537798651699e-06,0.2734160658035068,0.02434259845116692,0.0001299910342882833,11.231225362507677,400.0,126.85000000000002,1.0,947.8932607093932,9.67785769238935e-07,0.0009173576084720425,0.9173576084720425,1.0000335465968144,1.0000335465968155,1.000033546596817,2.903012826890505e-09,0.00025082030824333967,0.004799418822640554,0.00479941879962098,275.1932511647426,63455.57065549878,6302.939272952549,2.3021584638627246e-11,-7.792550604790449e-09,3.283275873400271e-10,8.365460652723103e-14,-1.2280111301824433e-13,5.209027838135797e-14,1900.0,0.0019,0.0007729741165076132
random_with_backbone,132,2165867.7935399744,25.067914277083037,0.06863220883527184,25694.802606646437,3.375316916189722e-06,0.291627381558792,0.02596397627838248,0.0001299894765574949,11.231090774567559,400.0,126.85000000000002,1.0,947.901733009465,9.677857692389349e-07,0.0009173658078434846,0.9173658078434845,1.0000424849284173,1.0000424849284182,1.0000424849284193,3.0964003295481636e-09,0.0002675289884729613,0.006112103985372887,0.0061121039633462715,275.1919384795789,63455.26796934735,6302.909207626338,2.1998403099132702e-11,-7.807102520018816e-09,3.2105162972584367e-10,7.993662401490965e-14,-1.2303043349073403e-13,5.093592318177109e-14,2200.0,0.0022,0.0009684347066771246
random_with_backbone,149,2602722.7699998952,30.124106134258046,0.08247530769132935,25699.603187462315,3.585263466021415e-06,0.30976676346425025,0.027578949738626273,0.00012998844687172521,11.231001809717059,400.0,126.85000000000002,1.0,947.9106165014044,9.67785769238935e-07,0.0009173744051605649,0.9173744051605649,1.0000518570701118,1.000051857070113,1.0000518570701136,3.289028939485301e-09,0.00028417210037153,0.007509428126486281,0.007509428102366655,275.19054115543986,63454.94576667575,6302.877203755721,2.4101609596982598e-11,-7.676135282963514e-09,3.246896085329354e-10,8.757914362357026e-14,-1.2096654923832656e-13,5.1513100781564526e-14,2600.0,0.0026,0.001163955944319845
random_with_backbone,166,3039659.2922227136,35.18124180813326,0.09632099057668243,25704.3987745326,3.7953552480178775e-06,0.32791869342874463,0.02919504036936829,0.00012998793477407805,11.230957564480343,400.0,126.85000000000002,1.0,947.9190912897059,9.67785769238935e-07,0.0009173826069400803,0.9173826069400803,1.0000607980268132,1.0000607980268152,1.0000607980268152,3.4817928916903552e-09,0.0003008269058420467,0.008991269887508731,0.00899126986422516,275.189059313678,63454.60407546723,6302.843264120222,2.3305801732931286e-11,-7.683411240577698e-09,3.0831870390102267e-10,8.46873794473203e-14,-1.2108120947457143e-13,4.8915801582494047e-14,3000.0,0.003,0.0013595276005593812
random_with_backbone,183,3476676.585999999,40.23931233796296,0.11016923295814635,25709.102402065415,4.0055941860744204e-06,0.3460833376768299,0.030812262969803238,0.0001299879397803451,11.230957997021816,400.0,126.85000000000002,1.0,947.9275660704767,9.677857692389357e-07,0.0009173908087123084,0.9173908087123084,1.0000697389755708,1.0000697389755726,1.0000697389755715,3.674695289736133e-09,0.0003174936730332019,0.01055752740715137,0.010557527383525667,275.1874930561587,63454.242919209515,6302.807391052894,2.3646862246096134e-11,-7.814378477633e-09,3.2650859793648124e-10,8.592670695142742e-14,-1.231450937269789e-13,5.180168958146125e-14,3200.0,0.0032,0.0015551361933845323
random_with_backbone,199,3888059.947314203,45.000693834655124,0.12320518503670123,25713.522062824573,4.202645352886837e-06,0.36310855848942275,0.0323280411760526,0.00012998745249208517,11.230915895316159,400.0,126.85000000000002,1.0,947.9355664137084,9.677857692389355e-07,0.0009173985513306369,0.9173985513306369,1.000078179389642,1.0000781793896438,1.0000781793896434,3.855500758494818e-09,0.00033311526553395223,0.012108654075706559,0.01210865405118966,275.18594192949104,63453.88525190672,6302.771864537765,2.4499513529008254e-11,-7.734342943876982e-09,3.1104718800634146e-10,8.902502571169524e-14,-1.2188383112828545e-13,4.934868478233913e-14,3900.0,0.0039,0.0017392598262254166
